sale_date,sale_time,title,quantity,id
2017-12-15,17:55:59,Шлёпки тип 3 - Adidas,,7571
2017-12-15,17:55:59,Футболка тип 7 - Nike,,7572
2017-12-15,17:55:59,Кроссовки тип 5 - Reebok,,7573
2018-2-25,11:52:25,Запонка тип 3 - Nike,,7574
2018-2-25,11:52:25,Майка тип 2 - Nike,,7575
2017-7-29,09:42:15,Шлёпки тип 3 - Nike,,7576
2018-8-17,16:43:43,Колготки тип 1 - Nike,,7577
2018-8-17,16:43:43,Шапка тип 3 - Nike,,7578
2018-8-17,16:43:43,Майка тип 3 - Puma,,7579
2016-12-19,11:13:13,Шлёпки тип 2 - Nike,,7580
2017-8-26,15:40:59,Запонка тип 2 - Nike,,7581
2017-8-26,15:40:59,Майка тип 3 - Adidas,,7582
2017-3-7,12:02:54,Ремень тип 2 - Nike,,7583
2018-7-22,10:47:14,Рубашка тип 10 - Adidas,,7584
2017-12-5,14:09:41,Шапка тип 3 - Reebok,,7585
2016-4-27,13:40:28,Штаны тип 6 - Nike,,7586
2016-4-27,13:40:28,Запонка тип 2 - Nike,,7587
2016-4-27,13:40:28,Мячик тип 2 - Adidas,,7588
2016-4-27,13:40:28,Штаны тип 10 - Puma,,7589
2017-9-7,15:20:01,Штаны тип 1 - Puma,,7590
2016-3-26,15:12:31,Туфли тип 4 - Puma,,7591
2016-4-30,16:44:58,Футболка тип 5 - Puma,,7592
2016-4-30,16:44:58,Кроссовки тип 5 - Adidas,,7593
2016-4-30,16:44:58,Футболка тип 1 - Adidas,,7594
2017-7-2,17:29:06,Туфли тип 4 - Nike,,7595
2017-1-13,17:56:51,Рубашка тип 12 - Reebok,,7596
2017-1-13,17:56:51,Штаны тип 9 - Reebok,,7597
2017-5-3,19:17:46,Сапоги тип 6 - Adidas,,7598
2017-5-3,19:17:46,Футболка тип 5 - Adidas,,7599
2017-5-3,19:17:46,Футболка тип 5 - Puma,,7600
2017-4-20,20:31:13,Шапка тип 6 - Adidas,,7601
2017-4-20,20:31:13,Рубашка тип 10 - Reebok,,7602
2017-4-20,20:31:13,Запонка тип 6 - Puma,,7603
2017-4-20,20:31:13,Кепка тип 2 - Puma,,7604
2017-4-20,20:31:13,Рубашка тип 7 - Puma,,7605
2018-8-24,11:03:25,Шлёпки тип 3 - Adidas,,7606
2018-8-24,11:03:25,Майка тип 1 - Nike,,7607
2018-5-19,14:31:31,Запонка тип 2 - Reebok,,7608
2016-4-29,16:44:49,Ремень тип 2 - Puma,,7609
2017-2-16,19:46:29,Туфли тип 2 - Puma,,7610
2017-2-16,19:46:29,Футболка тип 3 - Puma,,7611
2017-2-16,19:46:29,Кроссовки тип 4 - Adidas,,7612
2017-2-16,19:46:29,Колготки тип 1 - Adidas,,7613
2017-2-16,19:46:29,Майка тип 4 - Reebok,,7614
2017-11-29,13:37:30,Колготки тип 6 - Reebok,,7615
2016-5-15,09:29:48,Майка тип 2 - Puma,,7616
2016-2-1,14:12:28,Туфли тип 2 - Reebok,,7617
2016-2-1,14:12:28,Запонка тип 5 - Puma,,7618
2016-2-1,14:12:28,Запонка тип 5 - Nike,,7619
2017-7-19,17:30:59,Штаны тип 4 - Nike,,7620
2017-7-19,17:30:59,Кроссовки тип 2 - Reebok,,7621
2017-7-19,17:30:59,Запонка тип 1 - Adidas,,7622
2017-7-19,17:30:59,Кепка тип 1 - Reebok,,7623
2017-7-19,17:30:59,Мячик тип 1 - Adidas,,7624
2017-7-19,17:30:59,Футболка тип 1 - Nike,,7625
2017-7-19,17:30:59,Штаны тип 9 - Puma,,7626
2017-6-3,16:33:49,Рубашка тип 5 - Adidas,,7627
2016-6-29,20:47:39,Футболка тип 5 - Reebok,,7628
2016-6-29,20:47:39,Туфли тип 4 - Adidas,,7629
2016-6-29,20:47:39,Запонка тип 5 - Adidas,,7630
2016-6-29,20:47:39,Футболка тип 1 - Adidas,,7631
2016-6-29,20:47:39,Майка тип 1 - Adidas,,7632
2016-6-29,20:47:39,Запонка тип 2 - Puma,,7633
2017-10-18,12:13:50,Туфли тип 2 - Nike,,7634
2017-9-3,10:33:22,Штаны тип 7 - Puma,,7635
2017-9-3,10:33:22,Запонка тип 5 - Puma,,7636
2018-1-24,15:48:05,Ремень тип 4 - Reebok,,7637
2017-7-31,11:33:47,Запонка тип 3 - Nike,,7638
2017-7-31,11:33:47,Рубашка тип 8 - Puma,,7639
2017-7-31,11:33:47,Туфли тип 2 - Nike,,7640
2017-7-31,11:33:47,Колготки тип 6 - Nike,,7641
2017-7-31,11:33:47,Футболка тип 3 - Puma,,7642
2017-7-2,17:20:10,Шапка тип 6 - Puma,,7643
2017-7-28,20:12:50,Футболка тип 3 - Nike,,7644
2017-7-28,20:12:50,Сапоги тип 3 - Adidas,,7645
2016-6-9,12:29:45,Колготки тип 4 - Nike,,7646
2017-12-20,20:24:03,Футболка тип 2 - Puma,,7647
2017-7-16,09:58:48,Шапка тип 2 - Adidas,,7648
2016-10-6,15:10:23,Штаны тип 6 - Puma,,7649
2017-5-16,15:37:02,Майка тип 4 - Adidas,,7650
2017-5-16,15:37:02,Колготки тип 4 - Reebok,,7651
2017-5-16,15:37:02,Штаны тип 5 - Puma,,7652
2017-5-16,15:37:02,Рубашка тип 2 - Reebok,,7653
2018-9-14,14:52:11,Штаны тип 11 - Nike,,7654
2018-10-9,19:50:00,Колготки тип 5 - Reebok,,7655
2018-10-9,19:50:00,Майка тип 4 - Adidas,,7656
2017-12-19,11:33:28,Туфли тип 3 - Reebok,,7657
2016-9-22,16:16:20,Туфли тип 3 - Nike,,7658
2016-9-22,16:16:20,Кроссовки тип 3 - Puma,,7659
2017-5-11,13:25:11,Штаны тип 5 - Reebok,,7660
2016-2-6,16:01:40,Кроссовки тип 2 - Nike,,7661
2017-7-28,17:35:22,Рубашка тип 11 - Adidas,,7662
2017-7-28,17:35:22,Запонка тип 6 - Puma,,7663
2017-7-28,17:35:22,Штаны тип 9 - Adidas,,7664
2017-1-25,14:52:45,Кроссовки тип 4 - Nike,,7665
